Date|Time|Description|Vendor|Amount
2020-02-14|14:20:15|Commission payment received|Gallery NYC|2500.0
2020-12-28|16:45:00|Year-end equipment purchase|Amazon|-375.0
2021-04-22|15:10:45|Commission payment|Corporate Client|4500.0
2021-08-12|16:50:30|Merchandise inventory|Print Shop|-525.75
2022-03-12|11:55:20|Commission work completed|Private Collector|3200.0
2022-09-11|14:15:45|Photography workshop|Photo Institute|-399.99
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.0
2023-10-20|14:15:00|Commission invoice 8001|Collector|3500.0
2024-02-10|13:20:45|Commission work|Museum Client|5500.0
2024-12-22|16:30:15|Year-end art sale|Online Store|1975.0
2025-06-18|09:25:15|Commission invoice 10001|Corporate Client|6000.0
2025-10-10|10:50:15|Commission work completed|Art Collector|4200.0
2025-10-15|15:17:47|Art Gift Card|HobbyLobby|50.0
2025-10-15|15:18:58|StarBucks|Starbucks|-2.99
